id,season,city,date,match_type,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_overs,super_over,method,umpire1,umpire2,season_year,match_id,target_runs,required_run_rate
335982,2007/08,Bangalore,2008-04-18,League,Bb Mccullum,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,runs,140.0,20,N,Normal,Asad Rauf,RE Koertzen,2008,335982,223,11.15
335983,2007/08,Chandigarh,2008-04-19,League,Mek Hussey,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,33.0,20,N,Normal,MR Benson,SL Shastri,2008,335983,241,12.05
335984,2007/08,Delhi,2008-04-19,League,Mf Maharoof,Feroz Shah Kotla,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,Delhi Capitals,wickets,9.0,20,N,Normal,Aleem Dar,GA Pratapkumar,2008,335984,130,6.5
335985,2007/08,Mumbai,2008-04-20,League,Mv Boucher,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Royal Challengers Bangalore,wickets,5.0,20,N,Normal,SJ Davis,DJ Harper,2008,335985,166,8.3
335986,2007/08,Kolkata,2008-04-20,League,Dj Hussey,Eden Gardens,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,Kolkata Knight Riders,wickets,5.0,20,N,Normal,BF Bowden,K Hariharan,2008,335986,111,5.55
335987,2007/08,Jaipur,2008-04-21,League,Sr Watson,Sawai Mansingh Stadium,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,Rajasthan Royals,wickets,6.0,20,N,Normal,Aleem Dar,RB Tiffin,2008,335987,167,8.35
335988,2007/08,Hyderabad,2008-04-22,League,V Sehwag,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,Delhi Capitals,wickets,9.0,20,N,Normal,IL Howell,AM Saheba,2008,335988,143,7.15
335989,2007/08,Chennai,2008-04-23,League,Ml Hayden,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,runs,6.0,20,N,Normal,DJ Harper,GA Pratapkumar,2008,335989,209,10.45
335990,2007/08,Hyderabad,2008-04-24,League,Yk Pathan,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,3.0,20,N,Normal,Asad Rauf,MR Benson,2008,335990,215,10.75
335991,2007/08,Chandigarh,2008-04-25,League,Kc Sangakkara,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Mumbai Indians,Mumbai Indians,field,Punjab Kings,runs,66.0,20,N,Normal,Aleem Dar,AM Saheba,2008,335991,183,9.15
